                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                  1.179,                 1.0332,                 1.2467,                0.74537,                0.53298,                0.57983,                0.36498,                 1.5718,                 1.5795,                 1.8881,               0.007822,               0.007822,               0.007822
                     69,                 1.1911,                 1.0558,                 1.2493,                0.78992,                 0.7124,                0.71614,                0.48042,                 1.2198,                 1.2206,                 1.5363,               0.007789,               0.007789,               0.007789
                     70,                 1.1159,                 0.9905,                 1.2135,                0.75599,                0.67848,                0.69257,                 0.4503,                 1.2684,                 1.2424,                 1.5663,               0.007756,               0.007756,               0.007756
                     71,                 1.1544,                 1.0072,                 1.2286,                0.74726,                0.63588,                0.67107,                0.42632,                 1.2736,                 1.3493,                 1.6009,               0.007723,               0.007723,               0.007723
                     72,                 1.1804,                 1.0822,                 1.2511,                0.86554,                0.66227,                0.70893,                 0.4717,                 1.2003,                  1.174,                 1.5509,                0.00769,                0.00769,                0.00769
                     73,                  1.165,                 1.0581,                 1.2431,                0.66677,                0.67546,                0.63405,                0.39891,                 1.3049,                 1.2944,                 1.5833,               0.007657,               0.007657,               0.007657
                     74,                 1.1424,                0.98681,                 1.2261,                0.70405,                0.58839,                0.61542,                0.36373,                 1.4711,                 1.4306,                 1.7347,               0.007624,               0.007624,               0.007624
                     75,                 1.1362,                0.98758,                  1.227,                0.84752,                0.63059,                0.70087,                0.45986,                 1.3084,                 1.1962,                 1.6562,               0.007591,               0.007591,               0.007591
                     76,                  1.135,                 1.0067,                 1.2224,                0.20651,                0.07652,                0.05083,                0.02701,                 3.8153,                 3.8619,                 4.9022,               0.007558,               0.007558,               0.007558
                     77,                 1.1447,                 1.0129,                 1.2229,                 0.7284,                0.62979,                0.65841,                0.45127,                 1.2108,                 1.2452,                 1.5527,               0.007525,               0.007525,               0.007525
                     78,                 1.1325,                0.99403,                 1.2319,                 0.8055,                0.73211,                0.73441,                0.49695,                 1.1535,                 1.0879,                 1.5194,               0.007492,               0.007492,               0.007492
                     79,                 1.1265,                0.98447,                 1.2389,                0.76502,                0.69393,                0.70881,                0.47072,                  1.173,                 1.1838,                 1.4879,               0.007459,               0.007459,               0.007459
                     80,                 1.1129,                0.97036,                 1.2166,                0.74995,                0.71222,                0.70255,                0.46012,                 1.2769,                 1.1835,                 1.5987,               0.007426,               0.007426,               0.007426
                     81,                 1.1447,                0.97383,                   1.24,                0.75779,                0.67693,                0.68302,                0.43316,                 1.2437,                 1.2583,                 1.5698,               0.007393,               0.007393,               0.007393
                     82,                 1.1013,                0.97254,                 1.2149,                0.74027,                0.68433,                0.71006,                0.47275,                 1.1794,                  1.215,                   1.52,                0.00736,                0.00736,                0.00736
                     83,                 1.1269,                0.98078,                 1.2299,                0.59779,                0.53333,                0.51377,                0.28679,                 1.7607,                 2.1739,                  2.052,               0.007327,               0.007327,               0.007327
                     84,                 1.1431,                0.98338,                 1.2384,                0.28197,                0.07124,                0.05395,                0.02923,                 4.1331,                 3.9724,                 4.3316,               0.007294,               0.007294,               0.007294
                     85,                 1.1496,                0.99273,                 1.2254,                0.62973,                0.50923,                 0.5416,                0.34127,                 1.5461,                 1.7185,                  1.926,               0.007261,               0.007261,               0.007261
                     86,                 1.0829,                0.93614,                 1.1974,                0.78522,                0.59805,                0.65709,                0.43845,                 1.2912,                 1.2707,                 1.6274,               0.007228,               0.007228,               0.007228
                     87,                 1.1388,                0.96378,                  1.229,                0.78337,                0.69657,                0.71087,                 0.4922,                 1.1232,                  1.166,                 1.4774,               0.007195,               0.007195,               0.007195
                     88,                 1.1015,                 0.9412,                 1.2037,                0.73377,                0.71268,                0.70777,                0.47642,                 1.1754,                 1.1712,                 1.5134,               0.007162,               0.007162,               0.007162
                     89,                 1.1355,                0.95422,                 1.2166,                0.75818,                0.69129,                0.69747,                 0.4589,                 1.2232,                 1.1448,                 1.5631,               0.007129,               0.007129,               0.007129
                     90,                 1.1167,                0.98363,                 1.2145,                0.82091,                 0.7015,                0.71371,                0.46091,                 1.2528,                 1.1924,                 1.5666,               0.007096,               0.007096,               0.007096
                     91,                 1.0985,                 0.9422,                 1.2013,                0.63964,                0.41689,                0.39108,                0.20368,                 2.2295,                 1.9209,                 2.6282,               0.007063,               0.007063,               0.007063
                     92,                 1.0705,                0.93539,                 1.2021,                0.44326,                0.24802,                 0.2356,                0.14186,                 2.5337,                 2.5047,                 2.7755,                0.00703,                0.00703,                0.00703
                     93,                 1.0847,                0.92162,                 1.2164,                 0.7538,                0.70449,                 0.6831,                 0.4638,                 1.1215,                 1.1439,                 1.4626,               0.006997,               0.006997,               0.006997
                     94,                 1.1124,                0.95865,                 1.2116,                0.74417,                0.66491,                0.70197,                 0.4811,                 1.2067,                 1.2117,                 1.5295,               0.006964,               0.006964,               0.006964
                     95,                 1.1209,                0.96828,                 1.2138,                 0.7931,                0.68602,                 0.7213,                0.49761,                 1.1213,                 1.1521,                 1.4905,               0.006931,               0.006931,               0.006931
                     96,                 1.1339,                 0.9851,                 1.2334,                0.77234,                0.68923,                0.71555,                0.46163,                  1.229,                 1.1412,                 1.5376,               0.006898,               0.006898,               0.006898
                     97,                 1.0812,                0.93907,                 1.2041,                0.80124,                0.70198,                0.70915,                0.46258,                 1.2308,                 1.1751,                 1.5202,               0.006865,               0.006865,               0.006865
                     98,                 1.1111,                0.94442,                 1.2248,                0.39973,                0.49077,                0.39131,                0.23305,                 1.7382,                  2.448,                 2.1999,               0.006832,               0.006832,               0.006832
                     99,                 1.1274,                0.94161,                  1.213,                0.74312,                0.69461,                0.70294,                0.47488,                 1.1956,                   1.15,                 1.5125,               0.006799,               0.006799,               0.006799
                    100,                 1.0682,                 0.8973,                 1.1924,                0.73392,                0.69139,                0.68204,                0.42284,                 1.2618,                 1.2112,                 1.6111,               0.006766,               0.006766,               0.006766
                    101,                  1.117,                0.94122,                 1.2114,                0.75241,                0.65963,                 0.6833,                0.45336,                 1.2474,                 1.1715,                 1.5493,               0.006733,               0.006733,               0.006733
                    102,                 1.0675,                0.89893,                 1.1947,                0.81467,                0.63852,                0.68364,                0.45077,                  1.207,                  1.215,                 1.5573,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.0877,                0.89734,                 1.1877,                0.75537,                0.71768,                 0.6918,                0.45197,                 1.2301,                 1.1679,                 1.5354,               0.006667,               0.006667,               0.006667
                    104,                  1.032,                0.89449,                 1.1734,                0.81505,                0.70185,                0.71724,                0.49286,                 1.2006,                 1.1536,                 1.5394,               0.006634,               0.006634,               0.006634
                    105,                 1.0912,                0.95609,                 1.2171,                0.84929,                0.70712,                0.73265,                0.52522,                 1.1016,                 1.0866,                 1.4988,               0.006601,               0.006601,               0.006601
                    106,                 1.0763,                0.92475,                 1.1936,                0.76871,                0.71032,                0.68808,                0.46396,                 1.1406,                 1.1689,                 1.4628,               0.006568,               0.006568,               0.006568
                    107,                  1.102,                0.97175,                 1.2106,                0.76292,                0.68774,                0.70467,                0.46711,                 1.2739,                 1.1588,                 1.5961,               0.006535,               0.006535,               0.006535
                    108,                 1.0688,                0.92748,                  1.194,                0.69008,                0.68152,                0.67395,                 0.4445,                 1.1226,                 1.1805,                 1.4849,               0.006502,               0.006502,               0.006502
                    109,                 1.0542,                0.90422,                 1.1708,                0.79549,                0.70712,                0.71841,                0.47351,                  1.185,                 1.1274,                 1.5533,               0.006469,               0.006469,               0.006469
                    110,                 1.0513,                0.91149,                 1.1645,                0.52123,                0.28725,                0.25407,                 0.1315,                  2.784,                 2.2946,                 3.1314,               0.006436,               0.006436,               0.006436
                    111,                 1.0952,                0.92728,                 1.1895,                0.66768,                0.59904,                 0.5863,                0.35946,                 1.5409,                 1.5089,                 1.8195,               0.006403,               0.006403,               0.006403
                    112,                 1.0964,                0.91982,                 1.2009,                0.70769,                0.65797,                0.67304,                0.45835,                  1.245,                 1.3658,                 1.6452,                0.00637,                0.00637,                0.00637
                    113,                 1.0574,                0.88943,                 1.1921,                0.80914,                0.65699,                0.65931,                0.45136,                 1.2166,                 1.2227,                 1.5598,               0.006337,               0.006337,               0.006337
                    114,                 1.0739,                0.90554,                 1.1934,                0.77938,                0.65247,                0.69851,                0.46085,                 1.2279,                 1.1775,                 1.5458,               0.006304,               0.006304,               0.006304
                    115,                  1.061,                0.91005,                 1.1832,                0.73766,                0.68257,                0.67387,                0.46068,                 1.1494,                 1.2118,                 1.5547,               0.006271,               0.006271,               0.006271
                    116,                 1.0324,                0.87989,                 1.1791,                0.82439,                0.70185,                0.72248,                0.49509,                 1.1774,                 1.1122,                 1.5466,               0.006238,               0.006238,               0.006238
                    117,                 1.0866,                0.91506,                 1.1943,                0.74438,                0.72296,                0.70979,                0.46082,                 1.1793,                 1.2116,                 1.5083,               0.006205,               0.006205,               0.006205
                    118,                 1.0556,                0.89401,                 1.1703,                0.84204,                0.68602,                0.72419,                0.50813,                 1.1932,                 1.0887,                 1.5898,               0.006172,               0.006172,               0.006172
                    119,                 1.0638,                0.92126,                 1.2007,                0.78038,                0.53034,                0.59336,                0.40378,                 1.2416,                 1.2714,                 1.5636,               0.006139,               0.006139,               0.006139
                    120,                 1.0589,                0.86936,                 1.1984,                0.74247,                0.63588,                0.65906,                0.45639,                 1.2458,                 1.2908,                 1.6054,               0.006106,               0.006106,               0.006106
